No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
1,Components,Use functional components,Functional components are standard and support hooks,const Component = () => {},class Component extends React.Component,const Button = () => <button />,class Button extends Component,Medium,https://react.dev/learn/your-first-component
2,Components,PascalCase for component names,React components must start with capital letter,Header Footer UserProfile,header footer userProfile,function Header() {},function header() {},High,
3,Components,One component per file,Keep files focused and maintainable,Button.tsx Header.tsx,Multiple components in one file unless tightly coupled,export default function Button() {},export const Button = (); export const Input = ();,Low,
4,JSX,Close all tags,JSX requires all tags to be closed,<img /> <br />,<img > <br>,<img src='...' />,<img src='...'>,High,https://react.dev/learn/writing-markup-with-jsx
5,JSX,Use fragments efficiently,Avoid extra DOM nodes with fragments,<></> or <Fragment>,<div> wrappers everywhere,<></>,<div>...</div> (unnecessary wrappers),Low,https://react.dev/reference/react/Fragment
6,JSX,camelCase for attributes,JSX uses camelCase for HTML attributes,className onClick tabIndex,class onclick tabindex,<div className='box'>,<div class='box'>,High,
7,JSX,Wrap multiple elements,Return single parent element from component,<></> wrapper,Return multiple siblings without wrapper,return <><A/><B/></>,return <A/><B/>,High,
8,Props,Use destructuring for props,Clean syntax for accessing props,const { name } = props,props.name everywhere,function({ name }) {},function(props) { props.name },Low,https://react.dev/learn/passing-props-to-a-component
9,Props,Use default params for defaults,ES6 default parameters over defaultProps,function({ name = 'User' }),Component.defaultProps,function({ name = 'User' }),Component.defaultProps = {},Medium,
10,Props,Avoid spreading props blindly,Pass only what is needed,<Component {...specificProps} />,<Component {...props} /> (pass everything),<Button {...{ variant }} />,<Button {...props} />,Medium,
11,State,Use useState for local state,Simple local state management,useState(initial),this.setState or complex reducers for simple state,const [count, setCount] = useState(0),this.setState({ count: 1 }),High,https://react.dev/reference/react/useState
12,State,Don't mutate state directly,Always use setter function,setCount(c => c + 1),count = count + 1,setCount(count + 1),count++,High,
13,State,Use callback for previous state,Correctly update based on previous value,setCount(prev => prev + 1),setCount(count + 1) in async/loops,setCount(c => c + 1),setCount(count + 1),High,https://react.dev/reference/react/useState#updating-state-based-on-the-previous-state
14,State,Avoid derived state in state,Compute values during render,const fullName = `${first} ${last}`,const [fullName, setFullName] = useState(),const full = first + last,useEffect(() => setFull(first+last)),High,https://react.dev/learn/choosing-the-state-structure
15,Effects,Use useEffect for side effects,Data fetching subscriptions DOM updates,useEffect(() => {}, [deps]),Side effects in render body,useEffect(() => { fetch() }, []),fetch() in component body,High,https://react.dev/reference/react/useEffect
16,Effects,Clean up effects,Return cleanup function for listeners,return () => window.removeEventListener(),Forget to cleanup listeners,useEffect(() => { return () => cleanup() }),useEffect(() => { window.addEventListener() }),High,
17,Effects,Define dependencies correctly,Include all used reactive values in deps array,[prop, state],[ ] (empty) when using props/state,useEffect(fn, [count]),useEffect(fn, []),High,
18,Effects,Avoid useEffect for calculated state,Use variables or useMemo,const filtered = items.filter(),useEffect to update filtered state,const double = count * 2,useEffect(() => setDouble(count * 2)),High,https://react.dev/learn/you-might-not-need-an-effect
19,Refs,Use useRef for DOM access,Access DOM elements imperatively,useRef(null) and ref={myRef},document.getElementById,const input = useRef(null),const input = document.getElementById('in'),Medium,https://react.dev/reference/react/useRef
20,Refs,Use useRef for mutable variables,Values that don't trigger re-render,useRef for timers/intervals,useState for values not used in render,const interval = useRef(),const [interval, setInterval] = useState(),Medium,
21,Context,Use Context for global data,Avoid prop drilling for deep trees,createContext + useContext,Props passed down 5+ levels,const Theme = createContext(),Passing theme prop 10 levels deep,Medium,https://react.dev/learn/passing-data-deeply-with-context
22,Props,Validate props with TypeScript,Use TypeScript interfaces for prop types,interface Props { name: string },PropTypes or no validation,interface ButtonProps { onClick: () => void },Button.propTypes = {},Medium,
23,Events,Use synthetic events correctly,React normalizes events across browsers,e.preventDefault() e.stopPropagation(),Access native event unnecessarily,onClick={(e) => e.preventDefault()},onClick={(e) => e.nativeEvent.preventDefault()},Low,https://react.dev/reference/react-dom/components/common#react-event-object
24,Events,Avoid binding in render,Use arrow functions in class or hooks,Arrow functions in functional components,bind in render or constructor,const handleClick = () => {},this.handleClick.bind(this),Medium,
25,Events,Pass event handlers not call results,Pass function reference not invocation,onClick={handleClick},onClick={handleClick()} causing immediate call,onClick={handleClick},onClick={handleClick()},High,
26,Forms,Controlled components for forms,Use state to control form inputs,value + onChange for inputs,Uncontrolled inputs with refs,,,Medium,https://react.dev/reference/react-dom/components/input#controlling-an-input-with-a-state-variable
27,Forms,Handle form submission properly,Prevent default and handle in submit handler,onSubmit with preventDefault,onClick on submit button only,,,Medium,
28,Forms,Debounce rapid input changes,Debounce search/filter inputs,useDeferredValue or debounce for search,Filter on every keystroke,useDeferredValue(searchTerm),useEffect filtering on every change,Medium,https://react.dev/reference/react/useDeferredValue
29,Hooks,Follow rules of hooks,Only call hooks at top level and in React functions,Hooks at component top level,Hooks in conditions loops or callbacks,"const [x, setX] = useState()","if (cond) { const [x, setX] = useState() }",High,https://react.dev/reference/rules/rules-of-hooks
30,Hooks,Custom hooks for reusable logic,Extract shared stateful logic to custom hooks,useCustomHook for reusable patterns,Duplicate hook logic across components,const { data } = useFetch(url),Duplicate useEffect/useState in components,Medium,https://react.dev/learn/reusing-logic-with-custom-hooks
31,Hooks,Name custom hooks with use prefix,Custom hooks must start with use,useFetch useForm useAuth,fetchData or getData for hook,function useFetch(url),function fetchData(url),High,
32,Context,Use context for global data,Context for global theme auth locale,Context for app-wide state,Context for frequently changing data,,Context for form field values,Medium,https://react.dev/learn/passing-data-deeply-with-context
33,Context,Split contexts by concern,Separate contexts for different domains,ThemeContext + AuthContext,One giant AppContext,,,Medium,
34,Context,Memoize context values,Prevent unnecessary re-renders with useMemo,useMemo for context value object,New object reference every render,"value={useMemo(() => ({...}), [])}","value={{ user, theme }}",High,
35,Performance,Use React DevTools Profiler,Profile to identify performance bottlenecks,Profile before optimizing,Optimize without measuring,React DevTools Profiler,Guessing at bottlenecks,Medium,https://react.dev/learn/react-developer-tools
36,Performance,Lazy load components,Use React.lazy for code splitting,lazy() for routes and heavy components,Import everything upfront,const Page = lazy(() => import('./Page')),import Page from './Page',Medium,https://react.dev/reference/react/lazy
37,Performance,Virtualize long lists,Use windowing for lists over 100 items,react-window or react-virtual,Render thousands of DOM nodes,,{items.map(i => )},High,
38,Performance,Batch state updates,React 18 auto-batches but be aware,Let React batch related updates,Manual batching with flushSync,setA(1); setB(2); // batched,flushSync(() => setA(1)),Low,https://react.dev/learn/queueing-a-series-of-state-updates
39,ErrorHandling,Use error boundaries,Catch JavaScript errors in component tree,ErrorBoundary wrapping sections,Let errors crash entire app,,No error handling,High,https://react.dev/reference/react/Component#catching-rendering-errors-with-an-error-boundary
40,ErrorHandling,Handle async errors,Catch errors in async operations,try/catch in async handlers,Unhandled promise rejections,try { await fetch() } catch(e) {},await fetch() // no catch,High,
41,Testing,Test behavior not implementation,Test what user sees and does,Test renders and interactions,Test internal state or methods,expect(screen.getByText('Hello')),expect(component.state.name),Medium,https://testing-library.com/docs/react-testing-library/intro/
42,Testing,Use testing-library queries,Use accessible queries,getByRole getByLabelText,getByTestId for everything,getByRole('button'),getByTestId('submit-btn'),Medium,https://testing-library.com/docs/queries/about#priority
43,Accessibility,Use semantic HTML,Proper HTML elements for their purpose,button for clicks nav for navigation,div with onClick for buttons,,,High,https://react.dev/reference/react-dom/components#all-html-components
44,Accessibility,Manage focus properly,Handle focus for modals dialogs,Focus trap in modals return focus on close,No focus management,useEffect to focus input,Modal without focus trap,High,
45,Accessibility,Announce dynamic content,Use ARIA live regions for updates,aria-live for dynamic updates,Silent updates to screen readers,"{msg}","{msg}",Medium,
46,Accessibility,Label form controls,Associate labels with inputs,htmlFor matching input id,Placeholder as only label,"Email","",High,
47,TypeScript,Type component props,Define interfaces for all props,interface Props with all prop types,any or missing types,interface Props { name: string },function Component(props: any),High,
48,TypeScript,Type state properly,Provide types for useState,useState() for complex state,Inferred any types,useState(null),useState(null),Medium,
49,TypeScript,Type event handlers,Use React event types,React.ChangeEvent,Generic Event type,onChange: React.ChangeEvent,onChange: Event,Medium,
50,TypeScript,Use generics for reusable components,Generic components for flexible typing,Generic props for list components,Union types for flexibility, items={T[]}>,,Medium,
51,Patterns,Container/Presentational split,Separate data logic from UI,Container fetches presentational renders,Mixed data and UI in one,, with fetch and render,Low,
52,Patterns,Render props for flexibility,Share code via render prop pattern,Render prop for customizable rendering,Duplicate logic across components, ...}/>,Copy paste fetch logic,Low,https://react.dev/reference/react/cloneElement#passing-data-with-a-render-prop
53,Patterns,Compound components,Related components sharing state,Tab + TabPanel sharing context,Prop drilling between related,,,Low,
